Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110047,8/15/2019,8:00:00 AM,60,CFT646Q,TEST,STF,,MCS HEALTHCARE HOLDINGS LLC,ACTIVE,CONF,Virupaksheswara Ramapragada,,8/17/2019,8:00:00 PM,GR,NECTARINE
110047,8/15/2019,8:00:00 AM,60,CFTZ5YQ,RRTEST,STF,,MCS HEALTHCARE HOLDINGS LLC MCS,ACTIVE,CONF,Virupaksheswara Ramapragada,,8/17/2019,8:00:00 PM,GR,
110047,8/14/2019,4:00:00 AM,28,CFT646Q,SETUP,STF,,MCS HEALTHCARE HOLDINGS LLC C/S setup,CANCEL,CONF,Virupaksheswara Ramapragada,,8/15/2019,8:00:00 AM,GR,NECTARINE
110048,1/1/2019,8:00:00 AM,472,INTSTF01,MAINT,STF,,Printer hold,ACTIVE,CONF,Kristy Varga,EBRS,1/21/2019,12:00:00 AM,,
110048,1/7/2019,8:00:00 AM,129,INTSTF01,MAINT,STF,,Intel Upgrade Maint,ACTIVE,CONF,Kristy Varga,,1/12/2019,5:00:00 PM,,
110049,10/20/2019,4:00:00 PM,16,CFTT9VQ,SETUP,STF,,TRANS WORLD ENTERTAINMENT CORP C/S set-u,ACTIVE,CONF,Ajas Abdulsalam,,10/21/2019,8:00:00 AM,GR,BIRCH
110049,10/21/2019,8:00:00 AM,64,CFTT9VQ,TEST,STF,,TRANS WORLD ENTERTAINMENT CORP,ACTIVE,CONF,Ajas Abdulsalam,EBRS,10/24/2019,12:00:00 AM,GR,BIRCH E-D/S
110049,10/21/2019,8:00:00 AM,64,CFTTVSQ,OTHERSVC,STF,,TRANS WORLD ENTERTAINMENT CORP,ACTIVE,CONF,Ajas Abdulsalam,,10/24/2019,12:00:00 AM,GR,
110052,7/22/2019,8:00:00 AM,24,CFT690R,TEST,BLD,IRU,NATIONAL INDEMNITY CO,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/23/2019,8:00:00 AM,GR,BRECKENRIDGE
110052,7/22/2019,8:00:00 AM,24,CFT0T8R,OTHERSVC,BLD,,NATIONAL INDEMNITY CO,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,7/23/2019,8:00:00 AM,GR,
110053,3/17/2019,8:00:00 AM,24,CFT0CSD,SETUP,BLD,,AEGION CORPORATION comp set-up,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/18/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,4,CFT0D7D,TEST,BLD,IRU,AEGION CORPORATION,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,ACD,3/18/2019,12:00:00 PM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,24,CFT0CVD,TEST,BLD,,AEGION CORPORATION,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,3/19/2019,8:00:00 AM,GR,
110053,3/18/2019,8:00:00 AM,24,CFT0CTD,TEST,BLD,,AEGION CORPORATION,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/19/2019,8:00:00 AM,GR,BRECKENRIDGE NCA2
